Sr. No.,Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Tot Cases_per_1M pop,Deaths_per_1M pop,Total_Tests,Tests_per_1M pop,Population
0,World,326673326,5553522,266411376,54708428,41909,713,N/A,N/A,N/A
1,USA,66664283,873149,43059089,22732045,199601,2614,857726168,2568137,333987717
2,India,37122164,486094,35085721,1550349,26499,347,700712824,500200,1400865237
3,Brazil,22975723,621007,21710831,643885,106922,2890,63776166,296795,214882985
4,UK,15146356,151899,11299374,3695083,221326,2220,430233640,6286799,68434456
5,France,13894255,126869,8989347,4778039,212140,1937,211520605,3229535,65495677
6,Russia,10774304,320634,9835884,617786,73781,2196,245900000,1683892,146030720
7,Turkey,10403064,84622,9596609,721833,121341,987,124665228,1454087,85734344
8,Italy,8549450,140856,5937747,2470847,141723,2335,154869351,2567247,60325058
9,Spain,8093036,90759,5249372,2752905,172992,1940,66213858,1415351,46782635
10,Germany,7946145,116242,6942400,887503,94377,1381,89622218,1064447,84196003
11,Argentina,7029624,117989,5978073,933562,153373,2574,30404671,663373,45833463
12,Iran,6218741,132044,6062633,24064,72610,1542,42908102,500996,85645561
13,Colombia,5511479,130860,5185994,194625,106571,2530,30988249,599192,51716718
14,Mexico,4302069,301107,3396946,604016,32836,2298,13036525,99504,131015446
15,Poland,4298369,102270,3780013,416086,113765,2707,28462810,753326,37782845
16,Indonesia,4270794,144167,4118164,8463,15364,519,67173430,241657,277970483
17,Ukraine,3748079,98195,3551283,98601,86502,2266,17147892,395755,43329530
18,South Africa,3556633,93278,3360879,102476,58828,1543,21772893,360131,60458185
19,Netherlands,3532768,21148,2915619,596001,205475,1230,21107399,1227660,17193189
20,Philippines,3168242,52857,2834596,280789,28333,473,26084260,233264,111823010
21,Malaysia,2805337,31781,2732771,40785,85001,963,42831994,1297803,33003458
22,Canada,2740077,31463,2347920,360694,71634,823,54722072,1430605,38250988
23,Czechia,2587229,36844,2432396,117989,240907,3431,48035821,4472800,10739541
24,Peru,2562534,203376,N/A,N/A,76090,6039,23133453,686904,33677836
25,Belgium,2410731,28612,1939680,442439,206625,2452,28436961,2437343,11667199
26,Thailand,2316408,21919,2217124,77365,33059,313,17270775,246481,70069379
27,Iraq,2110683,24242,2069459,16982,50727,583,17025776,409187,41608804
28,Vietnam,2007862,35480,1717964,254418,20346,360,76176966,771918,98685254
29,Romania,1895833,59212,1776122,60499,99570,3110,17902633,940252,19040249
30,Chile,1867101,39376,1748321,79404,96399,2033,28348394,1463632,19368520
31,Portugal,1852703,19270,1523800,309633,182515,1898,27780292,2736713,10150971
32,Japan,1830251,18425,1723963,87863,14540,146,30418945,241649,125880819
33,Israel,1773636,8304,1492260,273072,190182,890,41373364,4436346,9326000
34,Switzerland,1659220,12566,1152563,494091,189583,1436,15372970,1756519,8751952
35,Greece,1650088,21888,1272988,355212,159510,2116,52542972,5079203,10344727
36,Australia,1640386,2633,458425,1179328,63202,101,58533307,2255207,25954735
37,Bangladesh,1612489,28136,1552600,31753,9643,168,11832120,70761,167212100
