,,,,,,,,,,
#,"Country,
Other","Total
Cases","Total
Deaths","Total
Recovered","Active
Cases","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
,World,"326,673,326","5,553,522","266,411,376","54,708,428","41,909",712.5,N/A,N/A,N/A
1,USA,"66,664,283","873,149","43,059,089","22,732,045","199,601","2,614","857,726,168","2,568,137","333,987,717"
2,India,"37,122,164","486,094","35,085,721","1,550,349","26,499",347,"700,712,824","500,200","1,400,865,237"
3,Brazil,"22,975,723","621,007","21,710,831","643,885","106,922","2,890","63,776,166","296,795","214,882,985"
4,UK,"15,146,356","151,899","11,299,374","3,695,083","221,326","2,220","430,233,640","6,286,799","68,434,456"
5,France,"13,894,255","126,869","8,989,347","4,778,039","212,140","1,937","211,520,605","3,229,535","65,495,677"
6,Russia,"10,774,304","320,634","9,835,884","617,786","73,781","2,196","245,900,000","1,683,892","146,030,720"
7,Turkey,"10,403,064","84,622","9,596,609","721,833","121,341",987,"124,665,228","1,454,087","85,734,344"
8,Italy,"8,549,450","140,856","5,937,747","2,470,847","141,723","2,335","154,869,351","2,567,247","60,325,058"
9,Spain,"8,093,036","90,759","5,249,372","2,752,905","172,992","1,940","66,213,858","1,415,351","46,782,635"
10,Germany,"7,946,145","116,242","6,942,400","887,503","94,377","1,381","89,622,218","1,064,447","84,196,003"
11,Argentina,"7,029,624","117,989","5,978,073","933,562","153,373","2,574","30,404,671","663,373","45,833,463"
12,Iran,"6,218,741","132,044","6,062,633","24,064","72,610","1,542","42,908,102","500,996","85,645,561"
13,Colombia,"5,511,479","130,860","5,185,994","194,625","106,571","2,530","30,988,249","599,192","51,716,718"
14,Mexico,"4,302,069","301,107","3,396,946","604,016","32,836","2,298","13,036,525","99,504","131,015,446"
15,Poland,"4,298,369","102,270","3,780,013","416,086","113,765","2,707","28,462,810","753,326","37,782,845"
16,Indonesia,"4,270,794","144,167","4,118,164","8,463","15,364",519,"67,173,430","241,657","277,970,483"
17,Ukraine,"3,748,079","98,195","3,551,283","98,601","86,502","2,266","17,147,892","395,755","43,329,530"
